over	62892
good	65087
great	65299
know	66547
see	67577
made	67920
before	68282
these	70734
us	71283
must	71926
did	71932
little	72309
such	74596
should	74682
can	75195
shall	77560
may	77815
like	78369
about	80377
then	83090
only	84431
now	84830
very	86062
our	86210
time	86781
your	90664
has	91939
some	94789
its	94948
any	96144
than	98310
other	98324
could	100197
It	102300
do	102791
upon	105393
man	105505
But	105745
into	106705
up	109168
out	114718
what	116651
more	119072
when	124476
He	125036
if	128573
there	132027
been	134127
who	135172
will	139626
And	145666
would	147556
no	147831
we	159273
an	170201
them	174816
one	177856
their	178315
said	180994
so	184223
were	186636
she	190787
are	202329
me	202952
my	228307
they	228406
this	236852
or	237938
all	238802
from	240694
him	246171
but	250443
The	251446
on	274803
have	277538
her	279004
at	280779
by	292653
which	304150
you	325337
had	345557
not	376861
be	384000
for	418338
as	429127
with	437361
his	473482
he	504431
is	511630
it	550326
was	575848
that	709840
I	741490
in	951423
a	1130767
to	1497696
and	1843380
of	1955361
the	3234853
